연도,회차,일차,경주번호,경기종류,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2015,10,2,4,플라잉,6,A1,7,배혜민,남,34,56,5.78,5.56,27.8,38.9,61.1,0.26,2363 1553,6,40,F0L0,0.27,10,일10-2,32,60.0/5,80.0/5,60.0/5,16.7/6,16.7/6,0.0/5,066,4.46,26.1,41.3,김민준/425,이현재/43,080,4.84,33,
2015,10,2,5,플라잉,1,B2,1,임인섭,남,41,61,3.79,3.68,0,21.4,28.6,0.29,5426 4654,4.2,30,F0L0,0.15,14,일03-6,10,0.0/1,100.0/2,0.0/2,100.0/1,0.0/2,0.0/2,054,4.38,19,41.7,박성민/566,반혜진/66,036,4.02,18.1,
2015,10,2,5,플라잉,2,A2,2,최재원,남,47,59,6.56,6.38,25,56.3,68.8,0.28,4122 1341,6.64,57.1,F0L0,0.21,13,일04-3,25,100.0/6,33.3/3,25.0/4,60.0/5,40.0/5,0.0/2,093,3.21,10,21.4,김도휘/635,손지영/053,027,4.78,30,
2015,10,2,5,플라잉,3,A2,3,이지수,여,35,59,3.93,3.1,6.7,6.7,26.7,0.27,6660 4433,1,0,F0L0,0,,"일08-1, 일15-3",11,0.0/2,0.0/1,0.0/2,0.0/2,0.0/2,0.0/2,096,5.13,30.1,47.3,손지영/423,양원준/252,018,5.52,40.4,
2015,10,2,5,플라잉,4,B2,5,구본협,남,37,67,4.8,4.75,0,40,40,0.33,5624 2464,4.8,40,F0L0,0.05,,"일01-5, 일09-6",10,0.0/1,50.0/2,50.0/2,0.0/1,0.0/1,66.7/3,073,3.19,7.7,21.2,김도환/55,신동열/66,109,4.66,24.4,
2015,10,2,5,플라잉,5,A1,4,이창규,남,36,59,6.39,5.92,27.8,44.4,61.1,0.27,4126 4132,6.87,53.3,F0L0,0.5,11,일14-3,28,25.0/4,40.0/5,100.0/4,40.0/5,66.7/6,0.0/4,027,7.01,51.7,67.4,홍기철/122,권일혁/413,014,5.77,40.9,
2015,10,2,5,플라잉,6,A1,7,손동민,남,33,53,6.67,6.44,22.2,44.4,66.7,0.27,3114 3414,7.07,53.3,F0L0,0.23,,"일04-1, 일12-2",29,40.0/5,66.7/6,80.0/5,50.0/4,40.0/5,25.0/4,083,4.5,28.6,41.7,정인교/615,오세준/362,070,6.06,40.4,
2015,10,2,6,플라잉,1,B1,13,김보혜,여,25,54,3.23,2.69,7.7,7.7,23.1,0.23,3655 0663,3.3,10,F0L0,0.7,14,일14-4,22,0.0/4,25.0/4,33.3/3,0.0/4,0.0/4,0.0/3,012,5.7,37.2,56.4,신현경/444,김민천/13,076,4.95,30.9,
2015,10,2,6,플라잉,2,B2,2,이장호,남,37,64,4.21,3.29,7.1,21.4,35.7,0.26,6344 2530,4.43,14.3,F0L0,0.21,,일09-5,7,0.0/2,00.0/0,0.0/2,0.0/1,0.0/1,100.0/1,071,5.09,33,50.5,이응석/56,신동열/324,093,4.18,20.2,
2015,10,2,6,플라잉,3,B2,11,박애리,여,30,54,1.85,0.69,0,0,0,0.24,6446 5666,2.09,0,F0L0,0.36,,일10-4,11,0.0/2,0.0/3,0.0/2,0.0/2,0.0/1,0.0/1,021,6.22,40.2,56.3,황만주/645,김국흠/12,044,4.33,23.8,
